id,hospital_id,name,slug,address,province,latitude,longitude,map_url,status
39,7371436,RS Mata Makassar,rs-mata-makassar,"Jl. Lingkar Barat Tallasa City Tamalanrea, Makassar",Sulawesi Selatan,-5.1294536,119.4947374,https://share.google/JJL5JZGpEjsO8NAVz,Success
4,1671013,RS Mohammad Hoesin,rs-mohammad-hoesin,"Jalan Jendral Sudirman Km. 3,5",Sumatera Selatan,-2.9662803,104.7502077,https://maps.app.goo.gl/m43H9cHDAswRJVQY6,Success
23,3372063,RS Orthopedi Prof. Dr. R. Soeharso,rs-orthopedi-prof-dr-r-soeharso,Jalan Jenderal Ahmad Yani 57162,Jawa Tengah,-7.5572258,110.7737225,https://maps.app.goo.gl/Z7uccGnQ64jdRpJCA,Success
20,3273201,RS Paru Dr. H. A. Rotinsulu,rs-paru-dr-h-a-rotinsulu,Jl. Bukit Jarian No. 40 Bandung,Jawa Barat,-6.877792,107.606201,https://maps.app.goo.gl/XBavLzjDeVMeMD7E7,Success
16,3201024,RS Paru Dr. M. Goenawan Partowidigdo,rs-paru-dr-m-goenawan-partowidigdo,Jalan Raya Puncak KM 83,Jawa Barat,-6.6881797,106.9395527,https://maps.app.goo.gl/NT3igtE3619ZVGuaA,Success
15,3175064,RS Penyakit Infeksi Prof. Dr. Sulianti Saroso,rs-penyakit-infeksi-prof-dr-sulianti-saroso,Jl. Sunter Permai Raya No. 2,DKI Jakarta,-6.130282,106.8619887,https://maps.app.goo.gl/t7zb3Z5TAnFAbaY37,Success
8,3172013,RS Persahabatan,rs-persahabatan,"Jl. Persahabatan Raya No. 1, Jakarta Timur",DKI Jakarta,-6.2039865,106.8838663,https://maps.app.goo.gl/SEDKzvGZ3pxwQZ916,Success
32,5171016,RS Prof. Dr. I.G.N.G. Ngoerah,rs-prof-dr-igng-ngoerah,Jl. Diponegoro,Bali,-8.6756306,115.2116041,https://maps.app.goo.gl/Kj6txTrTEtsEme2w8,Success
9,3172749,RS Pusat Otak Nasional Prof DR. dr. Mahar Mardjono,rs-pusat-otak-nasional-prof-dr-dr-mahar-mardjono,Jl. MT Haryono Kav. 11,DKI Jakarta,-6.2461066,106.8704664,https://maps.app.goo.gl/XRaRZi9B8yHYtGBT7,Success
36,7171013,RS R. D. Kandou,rs-r-d-kandou,Jl. Raya Tanawangko No.56,Sulawesi Utara,1.4545225,124.8080663,https://maps.app.goo.gl/WrqjpMJdojN8s33Y8,Success
11,3174041,RS Soeharto Heerdjan,rs-soeharto-heerdjan,JL. Prof. Dr. Latumeten No.1,DKI Jakarta,-6.1629444,106.7888191,https://maps.app.goo.gl/x8Zu1RV5TRbjds5h7,Success
22,3371040,RS Soerojo,rs-soerojo,Jl. Jenderal Ahmad Yani 169 Magelang,Jawa Tengah,-7.4414326,110.2256846,https://maps.app.goo.gl/XqoGwTPyBxuKKkjv6,Success
30,3578811,RS Surabaya,rs-surabaya,Jl. Indrapura No.17,Jawa Timur,-7.2403292,112.7315062,https://maps.app.goo.gl/FzxcqPnd5GihVXUA8,Success
24,3372201,RS Surakarta,rs-surakarta,Jl. Profesor DR. Soeharso No.28,Jawa Tengah,-7.55454,110.7870411,https://maps.app.goo.gl/qEDRHk3M2J6daJXE8,Success
3,1375036,RS. Otak DR. Drs. M. Hatta Bukittinggi,rs-otak-dr-drs-m-hatta-bukittinggi,Jl. Jend Sudirman Bukittinggi PO. BOX I Bukittinggi,Sumatera Barat,-0.3158414,100.3746874,https://maps.app.goo.gl/agAACDStjfWroyCMA,Success
35,7109028,RSU Ratatotok Buyat,rsu-ratatotok-buyat,JL. J.W. Lasut Ratatotok II,Sulawesi Utara,0.8704754,124.6992861,https://maps.app.goo.gl/FwoLKvCBypDsBdbL9,Success
